POI_ID,FAC_TYPE,POI_NAME,IN_VICIN,POINT_X,POINT_Y,FAC_NAME,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG
"1143827130","5800",PANS & CO. -HUMBERTO DELGADO,N,-9.12835,38.77007,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"69992653","5800",ADEGA PROGRESSO,N,-9.13884,38.71244,Restaurante,"1106","48","002","05","11064800205","022406",Lisboa
"996719901","5800",MODERNA,N,-9.13813,38.71299,Restaurante,"1106","48","002","02","11064800202","022406",Lisboa
"1137765881","9996",CAFÉ 2,N,-9.18014,38.74854,Café,"1106","39","021","02","11063902102","022406",Lisboa
"1100643278","9996",QUIOSQUE DO REFRESCO,N,-9.15113,38.71511,Café,"1106","22","002","03","11062200203","022406",Lisboa
"69992514","5800",DIAMANTE,N,-9.14174,38.72711,Restaurante,"1106","24","001","01","11062400101","022406",Lisboa
"842821052","5800",MCDONALD'S,N,-9.16361,38.76267,Restaurante,"1106","18","061","03","11061806103","022406",Lisboa
"1143827112","5800",ADEGA DO LAGARTO,N,-9.1494,38.70763,Restaurante,"1106","49","002","04","11064900204","022406",Lisboa
"69992522","5800",D'AVIS,N,-9.1077,38.73059,Restaurante,"1106","07","016","03","11060701603","022406",Lisboa
"69992655","5800",CANTINHO DA CHEIA,N,-9.10268,38.74361,Restaurante,"1106","21","031","07","11062103107","022406",Lisboa
"1131807816","9996",DELTA CAFÉ,N,-9.18695,38.75442,Café,"1106","11","031","01","11061103101","022406",Lisboa
"1137764203","9996",COFFE MANIA,N,-9.17782,38.75481,Café,"1106","39","010","01","11063901001","022406",Lisboa
"1141361042","5800",BELCANTO,N,-9.14151,38.70977,Restaurante,"1106","20","001","03","11062000103","022406",Lisboa
"69992537","5800",VIA GRAÇA,N,-9.13325,38.71884,Restaurante,"1106","16","006","02","11061600602","022406",Lisboa
"1143826980","5800",100 MANEIRAS,N,-9.14485,38.71468,Restaurante,"1106","15","001","04","11061500104","022406",Lisboa
"998700141","5800",MONTE VERDE DE MONSANTO,N,-9.19406,38.72637,Restaurante,"1106","08","063","01","11060806301","022406",Lisboa
"998700142","5800",LUNETA DO PANÇAS,N,-9.20011,38.73048,Restaurante,"1106","08","063","01","11060806301","022406",Lisboa
"1039140537","9996",CAFÉ COM LEITE,N,-9.16969,38.71921,Café,"1106","35","007","02","11063500702","022406",Lisboa
"996719822","5800",KI-BOM,N,-9.13404,38.73119,Restaurante,"1106","44","016","02","11064401602","022406",Lisboa
"996719823","5800",GRELHA D'OURO,N,-9.13372,38.73118,Restaurante,"1106","44","016","02","11064401602","022406",Lisboa
"67177156","5800",100 NORTE,N,-9.0924,38.77356,Restaurante,"1106","33","027","01","11063302701","022406",Lisboa
"69992503","5800",ADEGA TAGARRO,N,-9.14593,38.71128,Restaurante,"1106","28","005","05","11062800505","022406",Lisboa
"1148706302","5800",AROMAS & SABORES CAMPO DE OURIQUE,N,-9.16557,38.71663,Restaurante,"1106","35","024","02","11063502402","022406",Lisboa
"69992520","5800",COELHO DA ROCHA,N,-9.16678,38.71652,Restaurante,"1106","35","019","02","11063501902","022406",Lisboa
